<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.PG,D,20140404,000000,79.7800000
US1.PG,D,20140407,000000,80.5000000
US1.PG,D,20140408,000000,81.3500000
US1.PG,D,20140409,000000,81.5050000
US1.PG,D,20140410,000000,81.0900000
US1.PG,D,20140411,000000,80.7200000
US1.PG,D,20140414,000000,80.8100000
US1.PG,D,20140415,000000,80.8500000
US1.PG,D,20140416,000000,81.6600000
US1.PG,D,20140417,000000,81.7600000
US1.PG,D,20140421,000000,81.5500000
US1.PG,D,20140422,000000,81.2800000
US1.PG,D,20140423,000000,80.3700000
US1.PG,D,20140424,000000,81.1200000
US1.PG,D,20140425,000000,81.4400000
US1.PG,D,20140428,000000,82.9400000
US1.PG,D,20140429,000000,82.4350000
US1.PG,D,20140430,000000,82.5400000
US1.PG,D,20140501,000000,82.3300000
US1.PG,D,20140502,000000,81.9200000
US1.PG,D,20140505,000000,81.7000000
US1.PG,D,20140506,000000,81.1300000
US1.PG,D,20140507,000000,82.0800000
US1.PG,D,20140508,000000,82.1650000
US1.PG,D,20140509,000000,82.3900000
US1.PG,D,20140512,000000,81.7200000
US1.PG,D,20140513,000000,81.6200000
US1.PG,D,20140514,000000,81.1750000
US1.PG,D,20140515,000000,80.5300000
US1.PG,D,20140516,000000,80.3300000
US1.PG,D,20140519,000000,79.9200000
US1.PG,D,20140520,000000,80.2350000
US1.PG,D,20140521,000000,80.4150000
US1.PG,D,20140522,000000,80.6600000
US1.PG,D,20140523,000000,80.5200000
US1.PG,D,20140527,000000,80.0550000
US1.PG,D,20140528,000000,80.1350000
US1.PG,D,20140529,000000,80.4000000
US1.PG,D,20140530,000000,80.8000000
US1.PG,D,20140602,000000,80.3450000
US1.PG,D,20140603,000000,79.9400000
US1.PG,D,20140604,000000,79.8550000
US1.PG,D,20140605,000000,80.0650000
US1.PG,D,20140606,000000,80.0150000
US1.PG,D,20140609,000000,80.0600000
US1.PG,D,20140610,000000,80.1400000
US1.PG,D,20140611,000000,80.0600000
US1.PG,D,20140612,000000,79.7500000
US1.PG,D,20140613,000000,79.6250000
US1.PG,D,20140616,000000,79.6800000
US1.PG,D,20140617,000000,79.6000000
US1.PG,D,20140618,000000,79.7800000
US1.PG,D,20140619,000000,80.2350000
US1.PG,D,20140620,000000,79.9200000
US1.PG,D,20140623,000000,79.5200000
US1.PG,D,20140624,000000,79.0500000
US1.PG,D,20140625,000000,79.3300000
US1.PG,D,20140626,000000,78.6150000
US1.PG,D,20140627,000000,79.0450000
US1.PG,D,20140630,000000,78.5700000
US1.PG,D,20140701,000000,79.2700000
US1.PG,D,20140702,000000,79.5500000
US1.PG,D,20140703,000000,79.9400000
US1.PG,D,20140707,000000,80.1800000
US1.PG,D,20140708,000000,80.6300000
US1.PG,D,20140709,000000,81.6700000
US1.PG,D,20140710,000000,81.5900000
US1.PG,D,20140711,000000,81.1100000
US1.PG,D,20140714,000000,81.3300000
US1.PG,D,20140715,000000,81.3000000
US1.PG,D,20140716,000000,80.9300000
US1.PG,D,20140717,000000,80.3950000
US1.PG,D,20140718,000000,80.5400000
US1.PG,D,20140721,000000,80.2700000
US1.PG,D,20140722,000000,80.0900000
US1.PG,D,20140723,000000,80.0000000
US1.PG,D,20140724,000000,80.2550000
US1.PG,D,20140725,000000,79.5500000
US1.PG,D,20140728,000000,79.2300000
US1.PG,D,20140729,000000,78.6800000
US1.PG,D,20140730,000000,78.1600000
US1.PG,D,20140731,000000,77.3800000
US1.PG,D,20140801,000000,79.6500000
US1.PG,D,20140804,000000,79.2200000
US1.PG,D,20140805,000000,79.4000000
US1.PG,D,20140806,000000,81.1200000
US1.PG,D,20140807,000000,80.1400000
US1.PG,D,20140808,000000,80.9600000
US1.PG,D,20140811,000000,81.4700000
US1.PG,D,20140812,000000,81.4200000
US1.PG,D,20140813,000000,81.4950000
US1.PG,D,20140814,000000,81.9650000
US1.PG,D,20140815,000000,81.7800000
US1.PG,D,20140818,000000,82.4000000
US1.PG,D,20140819,000000,82.6600000
US1.PG,D,20140820,000000,82.8000000
US1.PG,D,20140821,000000,83.2600000
US1.PG,D,20140822,000000,83.3800000
US1.PG,D,20140825,000000,83.5400000
US1.PG,D,20140826,000000,83.3800000
US1.PG,D,20140827,000000,83.2900000
US1.PG,D,20140828,000000,83.0150000
US1.PG,D,20140829,000000,83.1000000
US1.PG,D,20140902,000000,82.9700000
US1.PG,D,20140903,000000,82.8900000
US1.PG,D,20140904,000000,83.6850000
US1.PG,D,20140905,000000,83.7600000
US1.PG,D,20140908,000000,83.2900000
US1.PG,D,20140909,000000,83.0000000
US1.PG,D,20140910,000000,83.6500000
US1.PG,D,20140911,000000,83.4900000
US1.PG,D,20140912,000000,83.2500000
US1.PG,D,20140915,000000,83.8700000
US1.PG,D,20140916,000000,84.0700000
US1.PG,D,20140917,000000,84.1600000
US1.PG,D,20140918,000000,84.2000000
US1.PG,D,20140919,000000,84.4800000
US1.PG,D,20140922,000000,84.8200000
US1.PG,D,20140923,000000,84.4500000
US1.PG,D,20140924,000000,85.2700000
US1.PG,D,20140925,000000,84.3500000
US1.PG,D,20140926,000000,84.5700000
US1.PG,D,20140929,000000,84.4500000
US1.PG,D,20140930,000000,83.7400000
US1.PG,D,20141001,000000,83.1250000
US1.PG,D,20141002,000000,83.0500000
US1.PG,D,20141003,000000,83.7800000
US1.PG,D,20141006,000000,83.5800000
US1.PG,D,20141007,000000,83.1300000
US1.PG,D,20141008,000000,84.1700000
US1.PG,D,20141009,000000,83.6750000
US1.PG,D,20141010,000000,84.6900000
US1.PG,D,20141013,000000,83.3650000
US1.PG,D,20141014,000000,83.5500000
US1.PG,D,20141015,000000,82.9400000
US1.PG,D,20141016,000000,82.2000000
US1.PG,D,20141017,000000,83.2700000
US1.PG,D,20141020,000000,84.1800000
US1.PG,D,20141021,000000,84.5900000
US1.PG,D,20141022,000000,84.2200000
US1.PG,D,20141023,000000,83.2000000
US1.PG,D,20141024,000000,85.1600000
US1.PG,D,20141027,000000,85.9500000
US1.PG,D,20141028,000000,86.4400000
US1.PG,D,20141029,000000,86.5200000
US1.PG,D,20141030,000000,86.9400000
US1.PG,D,20141031,000000,87.2400000
US1.PG,D,20141103,000000,87.3650000
US1.PG,D,20141104,000000,88.6400000
US1.PG,D,20141105,000000,88.9900000
US1.PG,D,20141106,000000,88.8600000
US1.PG,D,20141107,000000,89.1100000
US1.PG,D,20141110,000000,89.4400000
US1.PG,D,20141111,000000,89.6900000
US1.PG,D,20141112,000000,89.4500000
US1.PG,D,20141113,000000,88.6100000
US1.PG,D,20141114,000000,88.0700000
US1.PG,D,20141117,000000,87.8300000
US1.PG,D,20141118,000000,87.9900000
US1.PG,D,20141119,000000,88.7400000
US1.PG,D,20141120,000000,88.4800000
US1.PG,D,20141121,000000,88.5700000
US1.PG,D,20141124,000000,88.0900000
US1.PG,D,20141125,000000,88.8000000
US1.PG,D,20141126,000000,88.8800000
US1.PG,D,20141128,000000,90.4900000
US1.PG,D,20141201,000000,90.0900000
US1.PG,D,20141202,000000,91.0600000
US1.PG,D,20141203,000000,89.9900000
US1.PG,D,20141204,000000,90.5800000
US1.PG,D,20141205,000000,90.4100000
US1.PG,D,20141208,000000,90.7800000
US1.PG,D,20141209,000000,90.7200000
US1.PG,D,20141210,000000,90.0200000
US1.PG,D,20141211,000000,90.3800000
US1.PG,D,20141212,000000,89.6000000
US1.PG,D,20141215,000000,89.1900000
US1.PG,D,20141216,000000,89.3800000
US1.PG,D,20141217,000000,90.6900000
US1.PG,D,20141218,000000,92.0000000
US1.PG,D,20141219,000000,92.1200000
US1.PG,D,20141222,000000,92.6600000
US1.PG,D,20141223,000000,93.2900000
US1.PG,D,20141224,000000,93.1600000
US1.PG,D,20141226,000000,93.4700000
US1.PG,D,20141229,000000,92.6600000
US1.PG,D,20141230,000000,92.3900000
US1.PG,D,20141231,000000,91.1100000
US1.PG,D,20150102,000000,90.4300000
US1.PG,D,20150105,000000,90.0300000
US1.PG,D,20150106,000000,89.5700000
US1.PG,D,20150107,000000,90.0150000
US1.PG,D,20150108,000000,91.1000000
US1.PG,D,20150109,000000,90.2400000
US1.PG,D,20150112,000000,89.9300000
US1.PG,D,20150113,000000,90.3000000
US1.PG,D,20150114,000000,89.9500000
US1.PG,D,20150115,000000,89.8700000
US1.PG,D,20150116,000000,91.2000000
US1.PG,D,20150120,000000,91.2000000
US1.PG,D,20150121,000000,90.7300000
US1.PG,D,20150122,000000,91.6200000
US1.PG,D,20150123,000000,90.0700000
US1.PG,D,20150126,000000,89.5300000
US1.PG,D,20150127,000000,86.4850000
US1.PG,D,20150128,000000,85.1600000
US1.PG,D,20150129,000000,85.6700000
US1.PG,D,20150130,000000,84.3400000
US1.PG,D,20150202,000000,85.1100000
US1.PG,D,20150203,000000,85.9100000
US1.PG,D,20150204,000000,85.7800000
US1.PG,D,20150205,000000,86.6800000
