<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.BA,D,20150626,000000,142.5700000
US1.BA,D,20150629,000000,138.6900000
US1.BA,D,20150630,000000,139.0400000
US1.BA,D,20150701,000000,140.7550000
US1.BA,D,20150702,000000,140.2400000
US1.BA,D,20150706,000000,140.4400000
US1.BA,D,20150707,000000,143.3600000
US1.BA,D,20150708,000000,141.9500000
US1.BA,D,20150709,000000,142.8200000
US1.BA,D,20150710,000000,144.5000000
US1.BA,D,20150713,000000,146.5800000
US1.BA,D,20150714,000000,147.8500000
US1.BA,D,20150715,000000,146.9300000
US1.BA,D,20150716,000000,148.5000000
US1.BA,D,20150717,000000,146.8900000
US1.BA,D,20150720,000000,146.6300000
US1.BA,D,20150721,000000,145.1000000
US1.BA,D,20150722,000000,146.4600000
US1.BA,D,20150723,000000,146.1400000
US1.BA,D,20150724,000000,144.0000000
US1.BA,D,20150727,000000,141.0100000
US1.BA,D,20150728,000000,141.7300000
US1.BA,D,20150729,000000,144.1500000
US1.BA,D,20150730,000000,143.0500000
US1.BA,D,20150731,000000,144.1800000
US1.BA,D,20150803,000000,143.6100000
US1.BA,D,20150804,000000,143.6200000
US1.BA,D,20150805,000000,144.9500000
US1.BA,D,20150806,000000,143.8500000
US1.BA,D,20150807,000000,142.4200000
US1.BA,D,20150810,000000,145.8150000
US1.BA,D,20150811,000000,144.0700000
US1.BA,D,20150812,000000,142.3200000
US1.BA,D,20150813,000000,144.8300000
US1.BA,D,20150814,000000,145.0900000
US1.BA,D,20150817,000000,144.5100000
US1.BA,D,20150818,000000,144.6100000
US1.BA,D,20150819,000000,142.8100000
US1.BA,D,20150820,000000,137.0600000
US1.BA,D,20150821,000000,132.6800000
US1.BA,D,20150824,000000,128.6200000
US1.BA,D,20150826,000000,129.3100000
US1.BA,D,20150827,000000,131.8200000
US1.BA,D,20150828,000000,133.2200000
US1.BA,D,20150831,000000,130.6900000
US1.BA,D,20150901,000000,127.2800000
US1.BA,D,20150902,000000,130.5700000
US1.BA,D,20150903,000000,131.1000000
US1.BA,D,20150904,000000,129.8200000
US1.BA,D,20150908,000000,133.9300000
US1.BA,D,20150909,000000,132.6300000
US1.BA,D,20150910,000000,133.5000000
US1.BA,D,20150911,000000,134.6500000
US1.BA,D,20150914,000000,134.3700000
US1.BA,D,20150915,000000,136.3900000
US1.BA,D,20150916,000000,137.1700000
US1.BA,D,20150917,000000,137.8200000
US1.BA,D,20150918,000000,136.1200000
US1.BA,D,20150921,000000,135.9800000
US1.BA,D,20150922,000000,133.9800000
US1.BA,D,20150923,000000,131.6500000
US1.BA,D,20150924,000000,129.8700000
US1.BA,D,20150925,000000,130.9900000
US1.BA,D,20150928,000000,128.4600000
US1.BA,D,20150929,000000,128.8700000
US1.BA,D,20150930,000000,130.9700000
US1.BA,D,20151001,000000,130.6000000
US1.BA,D,20151002,000000,132.5400000
US1.BA,D,20151012,000000,140.7100000
