<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.MRK,D,20140404,000000,56.1300000
US1.MRK,D,20140407,000000,55.1900000
US1.MRK,D,20140408,000000,55.0400000
US1.MRK,D,20140409,000000,57.1400000
US1.MRK,D,20140410,000000,55.8650000
US1.MRK,D,20140411,000000,55.9200000
US1.MRK,D,20140414,000000,55.5700000
US1.MRK,D,20140415,000000,56.0500000
US1.MRK,D,20140416,000000,56.2600000
US1.MRK,D,20140417,000000,56.4600000
US1.MRK,D,20140421,000000,57.2350000
US1.MRK,D,20140422,000000,57.7800000
US1.MRK,D,20140423,000000,57.5000000
US1.MRK,D,20140424,000000,57.5000000
US1.MRK,D,20140425,000000,57.2500000
US1.MRK,D,20140428,000000,56.7800000
US1.MRK,D,20140429,000000,58.6900000
US1.MRK,D,20140430,000000,58.5400000
US1.MRK,D,20140501,000000,59.6300000
US1.MRK,D,20140502,000000,58.2200000
US1.MRK,D,20140505,000000,58.6300000
US1.MRK,D,20140506,000000,57.1100000
US1.MRK,D,20140507,000000,55.8100000
US1.MRK,D,20140508,000000,54.8300000
US1.MRK,D,20140509,000000,55.2100000
US1.MRK,D,20140512,000000,55.2800000
US1.MRK,D,20140513,000000,55.7650000
US1.MRK,D,20140514,000000,56.3600000
US1.MRK,D,20140515,000000,55.9100000
US1.MRK,D,20140516,000000,55.8800000
US1.MRK,D,20140519,000000,56.3400000
US1.MRK,D,20140520,000000,56.0100000
US1.MRK,D,20140521,000000,56.5600000
US1.MRK,D,20140522,000000,56.5000000
US1.MRK,D,20140523,000000,56.8100000
US1.MRK,D,20140527,000000,56.6950000
US1.MRK,D,20140528,000000,56.4050000
US1.MRK,D,20140529,000000,57.6800000
US1.MRK,D,20140530,000000,57.8450000
US1.MRK,D,20140602,000000,57.9300000
US1.MRK,D,20140603,000000,57.9050000
US1.MRK,D,20140604,000000,57.9000000
US1.MRK,D,20140605,000000,58.1400000
US1.MRK,D,20140606,000000,57.8250000
US1.MRK,D,20140609,000000,57.9150000
US1.MRK,D,20140610,000000,58.4600000
US1.MRK,D,20140611,000000,58.8150000
US1.MRK,D,20140612,000000,58.2800000
US1.MRK,D,20140613,000000,58.2100000
US1.MRK,D,20140616,000000,58.0700000
US1.MRK,D,20140617,000000,58.0900000
US1.MRK,D,20140618,000000,58.4200000
US1.MRK,D,20140619,000000,58.2700000
US1.MRK,D,20140620,000000,58.9200000
