<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.YAHOO,D,20150521,000000,43.6700000
US1.YAHOO,D,20150522,000000,43.4800000
US1.YAHOO,D,20150526,000000,42.8500000
US1.YAHOO,D,20150527,000000,43.3900000
US1.YAHOO,D,20150528,000000,43.0700000
US1.YAHOO,D,20150529,000000,42.9650000
US1.YAHOO,D,20150601,000000,43.3600000
US1.YAHOO,D,20150602,000000,43.1500000
US1.YAHOO,D,20150603,000000,43.1950000
US1.YAHOO,D,20150604,000000,42.8900000
US1.YAHOO,D,20150605,000000,42.8100000
US1.YAHOO,D,20150608,000000,42.0100000
US1.YAHOO,D,20150609,000000,41.6200000
US1.YAHOO,D,20150610,000000,42.0600000
US1.YAHOO,D,20150611,000000,40.9350000
US1.YAHOO,D,20150612,000000,40.5300000
US1.YAHOO,D,20150615,000000,40.4800000
US1.YAHOO,D,20150616,000000,40.6200000
US1.YAHOO,D,20150617,000000,40.9500000
US1.YAHOO,D,20150618,000000,40.9200000
US1.YAHOO,D,20150619,000000,40.5750000
US1.YAHOO,D,20150622,000000,40.7100000
US1.YAHOO,D,20150623,000000,40.6450000
US1.YAHOO,D,20150624,000000,40.9400000
US1.YAHOO,D,20150625,000000,41.0700000
US1.YAHOO,D,20150626,000000,40.0700000
US1.YAHOO,D,20150629,000000,38.8850000
US1.YAHOO,D,20150630,000000,39.3950000
US1.YAHOO,D,20150701,000000,39.3100000
US1.YAHOO,D,20150702,000000,39.3850000
US1.YAHOO,D,20150706,000000,38.5900000
US1.YAHOO,D,20150707,000000,38.2150000
US1.YAHOO,D,20150708,000000,37.2300000
US1.YAHOO,D,20150709,000000,37.6200000
US1.YAHOO,D,20150710,000000,37.9200000
US1.YAHOO,D,20150713,000000,38.7400000
US1.YAHOO,D,20150714,000000,38.6450000
US1.YAHOO,D,20150715,000000,38.3700000
US1.YAHOO,D,20150716,000000,38.9100000
US1.YAHOO,D,20150717,000000,39.6700000
US1.YAHOO,D,20150720,000000,39.5600000
US1.YAHOO,D,20150721,000000,39.7200000
US1.YAHOO,D,20150722,000000,39.2500000
US1.YAHOO,D,20150723,000000,39.2000000
US1.YAHOO,D,20150724,000000,38.8100000
US1.YAHOO,D,20150727,000000,37.8600000
US1.YAHOO,D,20150728,000000,37.7100000
US1.YAHOO,D,20150729,000000,37.6750000
US1.YAHOO,D,20150730,000000,37.4300000
US1.YAHOO,D,20150731,000000,36.6900000
US1.YAHOO,D,20150803,000000,36.6900000
US1.YAHOO,D,20150804,000000,37.1300000
US1.YAHOO,D,20150805,000000,37.2600000
US1.YAHOO,D,20150806,000000,36.4300000
US1.YAHOO,D,20150807,000000,36.6700000
US1.YAHOO,D,20150810,000000,37.1300000
US1.YAHOO,D,20150811,000000,36.0350000
US1.YAHOO,D,20150812,000000,34.5250000
US1.YAHOO,D,20150813,000000,35.9300000
US1.YAHOO,D,20150814,000000,36.2500000
US1.YAHOO,D,20150817,000000,36.0900000
US1.YAHOO,D,20150818,000000,35.6900000
US1.YAHOO,D,20150819,000000,35.1900000
US1.YAHOO,D,20150820,000000,34.1500000
US1.YAHOO,D,20150821,000000,33.4100000
US1.YAHOO,D,20150824,000000,31.5950000
US1.YAHOO,D,20150826,000000,32.5100000
US1.YAHOO,D,20150827,000000,33.6800000
US1.YAHOO,D,20150828,000000,33.1300000
US1.YAHOO,D,20150831,000000,32.2500000
US1.YAHOO,D,20150901,000000,31.5800000
US1.YAHOO,D,20150902,000000,31.7450000
US1.YAHOO,D,20150903,000000,32.5600000
US1.YAHOO,D,20150904,000000,31.5900000
US1.YAHOO,D,20150908,000000,30.9100000
US1.YAHOO,D,20150909,000000,31.5200000
US1.YAHOO,D,20150910,000000,31.1600000
US1.YAHOO,D,20150911,000000,31.4100000
US1.YAHOO,D,20150914,000000,30.3300000
US1.YAHOO,D,20150915,000000,31.0400000
US1.YAHOO,D,20150916,000000,31.5450000
US1.YAHOO,D,20150917,000000,30.8800000
US1.YAHOO,D,20150918,000000,30.7200000
US1.YAHOO,D,20150921,000000,31.1900000
US1.YAHOO,D,20150922,000000,30.4050000
US1.YAHOO,D,20150923,000000,29.7500000
US1.YAHOO,D,20150924,000000,29.4050000
US1.YAHOO,D,20150925,000000,29.1200000
US1.YAHOO,D,20150928,000000,27.6500000
US1.YAHOO,D,20150929,000000,28.3100000
US1.YAHOO,D,20150930,000000,28.8950000
US1.YAHOO,D,20151001,000000,28.9150000
US1.YAHOO,D,20151002,000000,30.7000000
US1.YAHOO,D,20151012,000000,32.8700000
US1.YAHOO,D,20151013,000000,32.3500000
US1.YAHOO,D,20151014,000000,32.0900000
US1.YAHOO,D,20151015,000000,33.4600000
US1.YAHOO,D,20151016,000000,33.3650000
US1.YAHOO,D,20151019,000000,33.5000000
US1.YAHOO,D,20151020,000000,32.8100000
US1.YAHOO,D,20151021,000000,31.1300000
US1.YAHOO,D,20151022,000000,31.6500000
US1.YAHOO,D,20151023,000000,33.2000000
US1.YAHOO,D,20151026,000000,33.3900000
US1.YAHOO,D,20151027,000000,34.3100000
US1.YAHOO,D,20151028,000000,35.1850000
US1.YAHOO,D,20151029,000000,35.0400000
US1.YAHOO,D,20151030,000000,35.6100000
US1.YAHOO,D,20151102,000000,35.2800000
US1.YAHOO,D,20151103,000000,34.7150000
US1.YAHOO,D,20151104,000000,35.0800000
US1.YAHOO,D,20151105,000000,35.1100000
US1.YAHOO,D,20151106,000000,34.1300000
US1.YAHOO,D,20151109,000000,33.6800000
US1.YAHOO,D,20151110,000000,33.9350000
US1.YAHOO,D,20151111,000000,33.3750000
US1.YAHOO,D,20151112,000000,33.2150000
US1.YAHOO,D,20151113,000000,32.1850000
US1.YAHOO,D,20151116,000000,32.9400000
US1.YAHOO,D,20151117,000000,32.8500000
US1.YAHOO,D,20151118,000000,32.9700000
US1.YAHOO,D,20151119,000000,32.6250000
US1.YAHOO,D,20151120,000000,33.0800000
US1.YAHOO,D,20151123,000000,33.3800000
US1.YAHOO,D,20151124,000000,32.9500000
US1.YAHOO,D,20151125,000000,33.1650000
US1.YAHOO,D,20151127,000000,32.9500000
US1.YAHOO,D,20151130,000000,33.8000000
US1.YAHOO,D,20151201,000000,33.7000000
US1.YAHOO,D,20151202,000000,35.6650000
US1.YAHOO,D,20151203,000000,34.3100000
US1.YAHOO,D,20151204,000000,34.9300000
US1.YAHOO,D,20151207,000000,34.6700000
US1.YAHOO,D,20151208,000000,34.8600000
US1.YAHOO,D,20151209,000000,34.3250000
US1.YAHOO,D,20151210,000000,34.6350000
US1.YAHOO,D,20151211,000000,32.9050000
US1.YAHOO,D,20151214,000000,32.5800000
US1.YAHOO,D,20151215,000000,33.0400000
US1.YAHOO,D,20151216,000000,33.8000000
US1.YAHOO,D,20151217,000000,33.2400000
US1.YAHOO,D,20151218,000000,32.9600000
US1.YAHOO,D,20151221,000000,32.9700000
US1.YAHOO,D,20151222,000000,34.1900000
US1.YAHOO,D,20151223,000000,34.4200000
US1.YAHOO,D,20151224,000000,34.1000000
US1.YAHOO,D,20151228,000000,33.5800000
US1.YAHOO,D,20151229,000000,34.0500000
US1.YAHOO,D,20151230,000000,33.3600000
US1.YAHOO,D,20151231,000000,33.2750000
US1.YAHOO,D,20160104,000000,31.4000000
US1.YAHOO,D,20160105,000000,32.2100000
US1.YAHOO,D,20160106,000000,32.1750000
US1.YAHOO,D,20160107,000000,30.1700000
US1.YAHOO,D,20160108,000000,30.6150000
US1.YAHOO,D,20160111,000000,30.1600000
US1.YAHOO,D,20160112,000000,30.7150000
US1.YAHOO,D,20160113,000000,29.4300000
US1.YAHOO,D,20160114,000000,30.3100000
US1.YAHOO,D,20160115,000000,29.1450000
US1.YAHOO,D,20160119,000000,29.7300000
US1.YAHOO,D,20160120,000000,28.7800000
US1.YAHOO,D,20160121,000000,29.3400000
US1.YAHOO,D,20160122,000000,29.7450000
US1.YAHOO,D,20160125,000000,29.7900000
US1.YAHOO,D,20160126,000000,29.9850000
US1.YAHOO,D,20160127,000000,29.7000000
US1.YAHOO,D,20160128,000000,28.7400000
US1.YAHOO,D,20160129,000000,29.4300000
US1.YAHOO,D,20160201,000000,29.5800000
US1.YAHOO,D,20160202,000000,29.1000000
US1.YAHOO,D,20160203,000000,27.6900000
US1.YAHOO,D,20160205,000000,27.9400000
US1.YAHOO,D,20160208,000000,27.0500000
US1.YAHOO,D,20160209,000000,26.8300000
US1.YAHOO,D,20160210,000000,27.1000000
US1.YAHOO,D,20160211,000000,26.7700000
US1.YAHOO,D,20160212,000000,27.0300000
US1.YAHOO,D,20160216,000000,29.2550000
US1.YAHOO,D,20160217,000000,29.3600000
US1.YAHOO,D,20160218,000000,29.4100000
US1.YAHOO,D,20160219,000000,30.0600000
US1.YAHOO,D,20160222,000000,31.1800000
US1.YAHOO,D,20160223,000000,30.6900000
US1.YAHOO,D,20160224,000000,30.9600000
US1.YAHOO,D,20160225,000000,31.3500000
US1.YAHOO,D,20160226,000000,31.3700000
US1.YAHOO,D,20160229,000000,31.8000000
