<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US2.AAPL,D,20141128,000000,118.9300000
US2.AAPL,D,20141201,000000,115.0600000
US2.AAPL,D,20141202,000000,114.6300000
US2.AAPL,D,20141203,000000,115.9400000
US2.AAPL,D,20141204,000000,115.4600000
US2.AAPL,D,20141205,000000,114.9800000
US2.AAPL,D,20141208,000000,112.4400000
US2.AAPL,D,20141209,000000,114.1200000
US2.AAPL,D,20141210,000000,111.9700000
US2.AAPL,D,20141211,000000,111.6500000
US2.AAPL,D,20141212,000000,109.7800000
US2.AAPL,D,20141215,000000,108.2000000
US2.AAPL,D,20141216,000000,106.8100000
US2.AAPL,D,20141217,000000,109.4000000
US2.AAPL,D,20141218,000000,112.5900000
US2.AAPL,D,20141219,000000,111.7900000
US2.AAPL,D,20141222,000000,112.9400000
US2.AAPL,D,20141223,000000,112.5600000
US2.AAPL,D,20141224,000000,112.0200000
US2.AAPL,D,20141226,000000,114.0000000
US2.AAPL,D,20141229,000000,113.9200000
US2.AAPL,D,20141230,000000,112.5200000
US2.AAPL,D,20141231,000000,110.4300000
US2.AAPL,D,20150102,000000,109.2900000
US2.AAPL,D,20150105,000000,106.2300000
US2.AAPL,D,20150106,000000,106.2300000
US2.AAPL,D,20150107,000000,107.7400000
US2.AAPL,D,20150108,000000,111.8500000
US2.AAPL,D,20150109,000000,112.0100000
US2.AAPL,D,20150112,000000,109.2600000
US2.AAPL,D,20150113,000000,110.2300000
US2.AAPL,D,20150114,000000,109.7000000
US2.AAPL,D,20150115,000000,106.8600000
US2.AAPL,D,20150116,000000,105.9100000
US2.AAPL,D,20150120,000000,108.7000000
US2.AAPL,D,20150121,000000,109.5300000
US2.AAPL,D,20150122,000000,112.3900000
US2.AAPL,D,20150123,000000,112.9900000
US2.AAPL,D,20150126,000000,113.0800000
US2.AAPL,D,20150127,000000,109.1100000
US2.AAPL,D,20150128,000000,115.3800000
US2.AAPL,D,20150129,000000,118.9100000
US2.AAPL,D,20150130,000000,117.1500000
US2.AAPL,D,20150202,000000,118.6000000
US2.AAPL,D,20150203,000000,118.5700000
US2.AAPL,D,20150204,000000,119.5500000
US2.AAPL,D,20150205,000000,119.9000000
US2.AAPL,D,20150206,000000,118.9200000
