<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US2.ADBE,D,20140814,000000,70.0500000
US2.ADBE,D,20140815,000000,70.0400000
US2.ADBE,D,20140818,000000,71.0900000
US2.ADBE,D,20140819,000000,72.0100000
US2.ADBE,D,20140820,000000,71.0300000
US2.ADBE,D,20140821,000000,71.7050000
US2.ADBE,D,20140822,000000,72.0400000
US2.ADBE,D,20140825,000000,71.8200000
US2.ADBE,D,20140826,000000,71.5400000
US2.ADBE,D,20140827,000000,71.5400000
US2.ADBE,D,20140828,000000,71.3450000
US2.ADBE,D,20140829,000000,71.9000000
US2.ADBE,D,20140902,000000,72.0900000
US2.ADBE,D,20140903,000000,72.4400000
US2.ADBE,D,20140904,000000,72.4250000
US2.ADBE,D,20140905,000000,73.1200000
US2.ADBE,D,20140908,000000,73.3900000
US2.ADBE,D,20140909,000000,72.4100000
US2.ADBE,D,20140910,000000,72.3200000
US2.ADBE,D,20140911,000000,72.4150000
US2.ADBE,D,20140912,000000,70.9800000
US2.ADBE,D,20140915,000000,70.2700000
US2.ADBE,D,20140916,000000,70.7600000
US2.ADBE,D,20140917,000000,67.2900000
US2.ADBE,D,20140918,000000,67.9000000
US2.ADBE,D,20140919,000000,66.9400000
US2.ADBE,D,20140922,000000,67.2000000
US2.ADBE,D,20140923,000000,67.8000000
US2.ADBE,D,20140924,000000,69.0300000
US2.ADBE,D,20140925,000000,67.7300000
US2.ADBE,D,20140926,000000,68.3700000
US2.ADBE,D,20140929,000000,69.2200000
US2.ADBE,D,20140930,000000,69.2000000
US2.ADBE,D,20141001,000000,67.5400000
US2.ADBE,D,20141002,000000,67.0600000
US2.ADBE,D,20141003,000000,68.3700000
US2.ADBE,D,20141006,000000,67.6700000
US2.ADBE,D,20141007,000000,65.9600000
US2.ADBE,D,20141008,000000,67.9700000
US2.ADBE,D,20141009,000000,65.6700000
US2.ADBE,D,20141010,000000,63.2900000
US2.ADBE,D,20141013,000000,61.7000000
US2.ADBE,D,20141014,000000,60.8800000
US2.ADBE,D,20141015,000000,62.2100000
US2.ADBE,D,20141016,000000,62.8500000
US2.ADBE,D,20141017,000000,64.5100000
US2.ADBE,D,20141020,000000,64.6700000
US2.ADBE,D,20141021,000000,66.4100000
US2.ADBE,D,20141022,000000,65.0400000
US2.ADBE,D,20141023,000000,65.9100000
US2.ADBE,D,20141024,000000,67.0000000
US2.ADBE,D,20141027,000000,67.0400000
US2.ADBE,D,20141028,000000,68.3900000
US2.ADBE,D,20141029,000000,67.9100000
US2.ADBE,D,20141030,000000,68.5700000
US2.ADBE,D,20141031,000000,70.0800000
US2.ADBE,D,20141103,000000,69.8950000
US2.ADBE,D,20141104,000000,71.0700000
US2.ADBE,D,20141105,000000,71.3600000
US2.ADBE,D,20141106,000000,72.1000000
US2.ADBE,D,20141107,000000,71.5600000
US2.ADBE,D,20141110,000000,71.7000000
US2.ADBE,D,20141111,000000,71.7100000
US2.ADBE,D,20141112,000000,71.3900000
US2.ADBE,D,20141113,000000,71.6800000
US2.ADBE,D,20141114,000000,71.4100000
US2.ADBE,D,20141117,000000,69.9600000
US2.ADBE,D,20141118,000000,70.8300000
US2.ADBE,D,20141119,000000,70.8200000
US2.ADBE,D,20141120,000000,70.4000000
US2.ADBE,D,20141121,000000,71.2550000
US2.ADBE,D,20141124,000000,71.2300000
US2.ADBE,D,20141125,000000,72.0100000
US2.ADBE,D,20141126,000000,72.9900000
US2.ADBE,D,20141128,000000,73.6900000
US2.ADBE,D,20141201,000000,73.7500000
US2.ADBE,D,20141202,000000,73.4900000
US2.ADBE,D,20141203,000000,73.1900000
US2.ADBE,D,20141204,000000,73.0000000
US2.ADBE,D,20141205,000000,72.4050000
US2.ADBE,D,20141208,000000,72.0500000
US2.ADBE,D,20141209,000000,71.5900000
US2.ADBE,D,20141210,000000,69.8500000
